17:00:39.530 [XNIO-1 task-1]  3hlNntToQtOm73AOXr4kRQ DEBUG com.networknt.schema.TypeValidator debug - validate( {"password":"1d79fe08-ee9f-4141-b856-5c00f4cf7319","newPassword":"1df58163-41bc-4d70-893a-29d3b5c59b62","newPasswordConfirm":"1df58163-41bc-4d70-893a-29d3b5c59b62"}, {"password":"1d79fe08-ee9f-4141-b856-5c00f4cf7319","newPassword":"1df58163-41bc-4d70-893a-29d3b5c59b62","newPasswordConfirm":"1df58163-41bc-4d70-893a-29d3b5c59b62"}, requestBody)
17:00:43.676 [XNIO-1 task-2]  -OYF3NVORd2ZIFqOQR0Onw DEBUG com.networknt.schema.TypeValidator debug - validate( "2416caa9-3101-4d1c-b0d5-0a98bf0661c7", {"password":"6232cd37-8c59-4f6d-9f7c-8475a565a340","newPassword":"2416caa9-3101-4d1c-b0d5-0a98bf0661c7","newPasswordConfirm":"2416caa9-3101-4d1c-b0d5-0a98bf0661c7"}, requestBody.newPasswordConfirm)
17:00:43.676 [XNIO-1 task-2]  -OYF3NVORd2ZIFqOQR0Onw DEBUG com.networknt.schema.TypeValidator debug - validate( "6232cd37-8c59-4f6d-9f7c-8475a565a340", {"password":"6232cd37-8c59-4f6d-9f7c-8475a565a340","newPassword":"2416caa9-3101-4d1c-b0d5-0a98bf0661c7","newPasswordConfirm":"2416caa9-3101-4d1c-b0d5-0a98bf0661c7"}, requestBody.password)
17:00:43.676 [XNIO-1 task-2]  -OYF3NVORd2ZIFqOQR0Onw DEBUG com.networknt.schema.TypeValidator debug - validate( "2416caa9-3101-4d1c-b0d5-0a98bf0661c7", {"password":"6232cd37-8c59-4f6d-9f7c-8475a565a340","newPassword":"2416caa9-3101-4d1c-b0d5-0a98bf0661c7","newPasswordConfirm":"2416caa9-3101-4d1c-b0d5-0a98bf0661c7"}, requestBody.newPassword)
17:00:43.711 [XNIO-1 task-2]  v3cC-eNTQm2aQG2FmWvKwQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user, base path is set to: null
17:00:43.712 [XNIO-1 task-2]  v3cC-eNTQm2aQG2FmWvKwQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/user
17:00:43.712 [XNIO-1 task-2]  v3cC-eNTQm2aQG2FmWvKwQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user, base path is set to: null
17:00:43.727 [hz._hzInstance_1_dev.partition-operation.thread-12]   DEBUG c.networknt.oauth.cache.UserMapStore load - Load:b89fcc0b
17:00:43.732 [hz._hzInstance_1_dev.partition-operation.thread-12]   DEBUG c.networknt.oauth.cache.UserMapStore load - Load:b89fcc0b
17:00:43.754 [XNIO-1 task-2]  QUUNP2vfSKquEELAQQdk1w DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/password/25a49246
17:00:43.755 [XNIO-1 task-2]  QUUNP2vfSKquEELAQQdk1w DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
17:00:43.755 [XNIO-1 task-2]  QUUNP2vfSKquEELAQQdk1w DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user/{userId}
17:00:43.755 [XNIO-1 task-2]  QUUNP2vfSKquEELAQQdk1w DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/password/{userId}
17:00:43.755 [XNIO-1 task-2]  QUUNP2vfSKquEELAQQdk1w DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/password/25a49246
17:00:43.756 [XNIO-1 task-2]  QUUNP2vfSKquEELAQQdk1w DEBUG com.networknt.schema.TypeValidator debug - validate( {"password":"2416caa9-3101-4d1c-b0d5-0a98bf0661c7","newPassword":"d3432682-79c9-43ac-88d5-8aa1449d9824","newPasswordConfirm":"d3432682-79c9-43ac-88d5-8aa1449d9824"}, {"password":"2416caa9-3101-4d1c-b0d5-0a98bf0661c7","newPassword":"d3432682-79c9-43ac-88d5-8aa1449d9824","newPasswordConfirm":"d3432682-79c9-43ac-88d5-8aa1449d9824"}, requestBody)
17:00:43.756 [XNIO-1 task-2]  QUUNP2vfSKquEELAQQdk1w DEBUG c.n.schema.PropertiesValidator debug - validate( {"password":"2416caa9-3101-4d1c-b0d5-0a98bf0661c7","newPassword":"d3432682-79c9-43ac-88d5-8aa1449d9824","newPasswordConfirm":"d3432682-79c9-43ac-88d5-8aa1449d9824"}, {"password":"2416caa9-3101-4d1c-b0d5-0a98bf0661c7","newPassword":"d3432682-79c9-43ac-88d5-8aa1449d9824","newPasswordConfirm":"d3432682-79c9-43ac-88d5-8aa1449d9824"}, requestBody)
17:00:43.756 [XNIO-1 task-2]  QUUNP2vfSKquEELAQQdk1w DEBUG com.networknt.schema.FormatValidator debug - validate( "d3432682-79c9-43ac-88d5-8aa1449d9824", {"password":"2416caa9-3101-4d1c-b0d5-0a98bf0661c7","newPassword":"d3432682-79c9-43ac-88d5-8aa1449d9824","newPasswordConfirm":"d3432682-79c9-43ac-88d5-8aa1449d9824"}, requestBody.newPasswordConfirm)
17:00:43.756 [XNIO-1 task-2]  QUUNP2vfSKquEELAQQdk1w DEBUG com.networknt.schema.FormatValidator debug - validate( "2416caa9-3101-4d1c-b0d5-0a98bf0661c7", {"password":"2416caa9-3101-4d1c-b0d5-0a98bf0661c7","newPassword":"d3432682-79c9-43ac-88d5-8aa1449d9824","newPasswordConfirm":"d3432682-79c9-43ac-88d5-8aa1449d9824"}, requestBody.password)
17:00:43.756 [XNIO-1 task-2]  QUUNP2vfSKquEELAQQdk1w DEBUG com.networknt.schema.FormatValidator debug - validate( "d3432682-79c9-43ac-88d5-8aa1449d9824", {"password":"2416caa9-3101-4d1c-b0d5-0a98bf0661c7","newPassword":"d3432682-79c9-43ac-88d5-8aa1449d9824","newPasswordConfirm":"d3432682-79c9-43ac-88d5-8aa1449d9824"}, requestBody.newPassword)
17:00:43.811 [XNIO-1 task-2]  aXVbDr8bR6KUNGTNtNen9Q DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/password/b89fcc0b
17:00:43.811 [XNIO-1 task-2]  aXVbDr8bR6KUNGTNtNen9Q DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
17:00:43.811 [XNIO-1 task-2]  aXVbDr8bR6KUNGTNtNen9Q DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user/{userId}
17:00:43.811 [XNIO-1 task-2]  aXVbDr8bR6KUNGTNtNen9Q DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/password/{userId}
17:00:43.812 [XNIO-1 task-2]  aXVbDr8bR6KUNGTNtNen9Q DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/password/b89fcc0b
17:00:43.812 [XNIO-1 task-2]  aXVbDr8bR6KUNGTNtNen9Q DEBUG com.networknt.schema.TypeValidator debug - validate( {"password":"268401d8-aab3-4d52-98cf-55794f031e33","newPassword":"4e78528c-0e41-4594-aa3b-213617089b45","newPasswordConfirm":"4e78528c-0e41-4594-aa3b-213617089b45"}, {"password":"268401d8-aab3-4d52-98cf-55794f031e33","newPassword":"4e78528c-0e41-4594-aa3b-213617089b45","newPasswordConfirm":"4e78528c-0e41-4594-aa3b-213617089b45"}, requestBody)
17:00:43.812 [XNIO-1 task-2]  aXVbDr8bR6KUNGTNtNen9Q DEBUG c.n.schema.PropertiesValidator debug - validate( {"password":"268401d8-aab3-4d52-98cf-55794f031e33","newPassword":"4e78528c-0e41-4594-aa3b-213617089b45","newPasswordConfirm":"4e78528c-0e41-4594-aa3b-213617089b45"}, {"password":"268401d8-aab3-4d52-98cf-55794f031e33","newPassword":"4e78528c-0e41-4594-aa3b-213617089b45","newPasswordConfirm":"4e78528c-0e41-4594-aa3b-213617089b45"}, requestBody)
17:00:43.812 [XNIO-1 task-2]  aXVbDr8bR6KUNGTNtNen9Q DEBUG com.networknt.schema.FormatValidator debug - validate( "4e78528c-0e41-4594-aa3b-213617089b45", {"password":"268401d8-aab3-4d52-98cf-55794f031e33","newPassword":"4e78528c-0e41-4594-aa3b-213617089b45","newPasswordConfirm":"4e78528c-0e41-4594-aa3b-213617089b45"}, requestBody.newPasswordConfirm)
17:00:43.813 [XNIO-1 task-2]  aXVbDr8bR6KUNGTNtNen9Q DEBUG com.networknt.schema.FormatValidator debug - validate( "268401d8-aab3-4d52-98cf-55794f031e33", {"password":"268401d8-aab3-4d52-98cf-55794f031e33","newPassword":"4e78528c-0e41-4594-aa3b-213617089b45","newPasswordConfirm":"4e78528c-0e41-4594-aa3b-213617089b45"}, requestBody.password)
17:00:43.813 [XNIO-1 task-2]  aXVbDr8bR6KUNGTNtNen9Q DEBUG com.networknt.schema.FormatValidator debug - validate( "4e78528c-0e41-4594-aa3b-213617089b45", {"password":"268401d8-aab3-4d52-98cf-55794f031e33","newPassword":"4e78528c-0e41-4594-aa3b-213617089b45","newPasswordConfirm":"4e78528c-0e41-4594-aa3b-213617089b45"}, requestBody.newPassword)
17:00:43.829 [hz._hzInstance_1_dev.partition-operation.thread-12]   DEBUG c.networknt.oauth.cache.UserMapStore load - Load:b89fcc0b
17:00:43.844 [XNIO-1 task-2]  qXDGi03QTYmKe2dMLQvgfw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
17:00:43.844 [XNIO-1 task-2]  qXDGi03QTYmKe2dMLQvgfw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
17:00:43.845 [XNIO-1 task-2]  qXDGi03QTYmKe2dMLQvgfw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
17:00:43.872 [XNIO-1 task-2]  4yi3e7-GT0-sdF0kwCBuJg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
17:00:43.872 [XNIO-1 task-2]  4yi3e7-GT0-sdF0kwCBuJg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
17:00:43.872 [XNIO-1 task-2]  4yi3e7-GT0-sdF0kwCBuJg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
17:00:43.873 [XNIO-1 task-2]  4yi3e7-GT0-sdF0kwCBuJg DEBUG com.networknt.schema.FormatValidator debug - validate( "1", "1", page)
17:00:43.887 [XNIO-1 task-2]  mVzytTSsR6iWO5qujPrnMA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
17:00:43.887 [XNIO-1 task-2]  mVzytTSsR6iWO5qujPrnMA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
17:00:43.887 [XNIO-1 task-2]  mVzytTSsR6iWO5qujPrnMA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
17:00:43.890 [hz._hzInstance_1_dev.partition-operation.thread-13]   DEBUG c.n.oauth.cache.RefreshTokenMapStore store - Store:2040b941-18d0-4c27-8760-c5fcd7e166ac
17:00:43.915 [XNIO-1 task-2]  -3yYgRzEQJmnuqna0UyoDQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user, base path is set to: null
17:00:43.916 [XNIO-1 task-2]  -3yYgRzEQJmnuqna0UyoDQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/user
17:00:43.916 [XNIO-1 task-2]  -3yYgRzEQJmnuqna0UyoDQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user, base path is set to: null
17:00:43.923 [hz._hzInstance_1_dev.partition-operation.thread-13]   DEBUG c.n.oauth.cache.RefreshTokenMapStore delete - Delete:2040b941-18d0-4c27-8760-c5fcd7e166ac
17:00:43.961 [hz._hzInstance_1_dev.partition-operation.thread-13]   DEBUG c.n.oauth.cache.RefreshTokenMapStore load - Load:2040b941-18d0-4c27-8760-c5fcd7e166ac
17:00:43.969 [XNIO-1 task-2]  GsmWIdyHQiKHP3qzjx7k4A DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/password/5312473d
17:00:43.969 [XNIO-1 task-2]  GsmWIdyHQiKHP3qzjx7k4A DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
17:00:43.970 [XNIO-1 task-2]  GsmWIdyHQiKHP3qzjx7k4A DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user/{userId}
17:00:43.970 [XNIO-1 task-2]  GsmWIdyHQiKHP3qzjx7k4A DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/password/{userId}
17:00:43.971 [XNIO-1 task-2]  GsmWIdyHQiKHP3qzjx7k4A DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/password/5312473d
17:00:43.973 [XNIO-1 task-2]  GsmWIdyHQiKHP3qzjx7k4A DEBUG com.networknt.schema.TypeValidator debug - validate( {"password":"46935ce0-ca88-4bd0-82e4-aaba891f8963","newPassword":"11bbc361-a824-4020-b400-7568d5645f84","newPasswordConfirm":"11bbc361-a824-4020-b400-7568d5645f84"}, {"password":"46935ce0-ca88-4bd0-82e4-aaba891f8963","newPassword":"11bbc361-a824-4020-b400-7568d5645f84","newPasswordConfirm":"11bbc361-a824-4020-b400-7568d5645f84"}, requestBody)
17:00:43.973 [XNIO-1 task-2]  GsmWIdyHQiKHP3qzjx7k4A DEBUG c.n.schema.PropertiesValidator debug - validate( {"password":"46935ce0-ca88-4bd0-82e4-aaba891f8963","newPassword":"11bbc361-a824-4020-b400-7568d5645f84","newPasswordConfirm":"11bbc361-a824-4020-b400-7568d5645f84"}, {"password":"46935ce0-ca88-4bd0-82e4-aaba891f8963","newPassword":"11bbc361-a824-4020-b400-7568d5645f84","newPasswordConfirm":"11bbc361-a824-4020-b400-7568d5645f84"}, requestBody)
17:00:43.973 [XNIO-1 task-2]  GsmWIdyHQiKHP3qzjx7k4A DEBUG com.networknt.schema.FormatValidator debug - validate( "11bbc361-a824-4020-b400-7568d5645f84", {"password":"46935ce0-ca88-4bd0-82e4-aaba891f8963","newPassword":"11bbc361-a824-4020-b400-7568d5645f84","newPasswordConfirm":"11bbc361-a824-4020-b400-7568d5645f84"}, requestBody.newPasswordConfirm)
17:00:43.973 [XNIO-1 task-2]  GsmWIdyHQiKHP3qzjx7k4A DEBUG com.networknt.schema.FormatValidator debug - validate( "46935ce0-ca88-4bd0-82e4-aaba891f8963", {"password":"46935ce0-ca88-4bd0-82e4-aaba891f8963","newPassword":"11bbc361-a824-4020-b400-7568d5645f84","newPasswordConfirm":"11bbc361-a824-4020-b400-7568d5645f84"}, requestBody.password)
17:00:43.973 [XNIO-1 task-2]  GsmWIdyHQiKHP3qzjx7k4A DEBUG com.networknt.schema.FormatValidator debug - validate( "11bbc361-a824-4020-b400-7568d5645f84", {"password":"46935ce0-ca88-4bd0-82e4-aaba891f8963","newPassword":"11bbc361-a824-4020-b400-7568d5645f84","newPasswordConfirm":"11bbc361-a824-4020-b400-7568d5645f84"}, requestBody.newPassword)
17:00:44.005 [XNIO-1 task-2]  9D5aW2XKRlau2o8w9YCNJA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
17:00:44.005 [XNIO-1 task-2]  9D5aW2XKRlau2o8w9YCNJA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
17:00:44.009 [XNIO-1 task-2]  9D5aW2XKRlau2o8w9YCNJA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
17:00:44.021 [XNIO-1 task-2]  lbqhBMLeQGSme7Ec6v46lQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
17:00:44.021 [XNIO-1 task-2]  lbqhBMLeQGSme7Ec6v46lQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
17:00:44.021 [XNIO-1 task-2]  lbqhBMLeQGSme7Ec6v46lQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
17:00:44.022 [XNIO-1 task-2]  lbqhBMLeQGSme7Ec6v46lQ DEBUG com.networknt.schema.FormatValidator debug - validate( "1", "1", page)
17:00:44.034 [XNIO-1 task-2]  jytv7LtTSbyZdKqy6ueEJQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/password/5312473d
17:00:44.034 [XNIO-1 task-2]  jytv7LtTSbyZdKqy6ueEJQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
17:00:44.034 [XNIO-1 task-2]  jytv7LtTSbyZdKqy6ueEJQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user/{userId}
17:00:44.034 [XNIO-1 task-2]  jytv7LtTSbyZdKqy6ueEJQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/password/{userId}
17:00:44.034 [XNIO-1 task-2]  jytv7LtTSbyZdKqy6ueEJQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/password/5312473d
17:00:44.035 [XNIO-1 task-2]  jytv7LtTSbyZdKqy6ueEJQ DEBUG com.networknt.schema.TypeValidator debug - validate( {"password":"11bbc361-a824-4020-b400-7568d5645f84","newPassword":"ca95f17c-734e-4dad-948b-b07f04e3aa3d","newPasswordConfirm":"ca95f17c-734e-4dad-948b-b07f04e3aa3d"}, {"password":"11bbc361-a824-4020-b400-7568d5645f84","newPassword":"ca95f17c-734e-4dad-948b-b07f04e3aa3d","newPasswordConfirm":"ca95f17c-734e-4dad-948b-b07f04e3aa3d"}, requestBody)
17:00:44.035 [XNIO-1 task-2]  jytv7LtTSbyZdKqy6ueEJQ DEBUG c.n.schema.PropertiesValidator debug - validate( {"password":"11bbc361-a824-4020-b400-7568d5645f84","newPassword":"ca95f17c-734e-4dad-948b-b07f04e3aa3d","newPasswordConfirm":"ca95f17c-734e-4dad-948b-b07f04e3aa3d"}, {"password":"11bbc361-a824-4020-b400-7568d5645f84","newPassword":"ca95f17c-734e-4dad-948b-b07f04e3aa3d","newPasswordConfirm":"ca95f17c-734e-4dad-948b-b07f04e3aa3d"}, requestBody)
17:00:44.035 [XNIO-1 task-2]  jytv7LtTSbyZdKqy6ueEJQ DEBUG com.networknt.schema.FormatValidator debug - validate( "ca95f17c-734e-4dad-948b-b07f04e3aa3d", {"password":"11bbc361-a824-4020-b400-7568d5645f84","newPassword":"ca95f17c-734e-4dad-948b-b07f04e3aa3d","newPasswordConfirm":"ca95f17c-734e-4dad-948b-b07f04e3aa3d"}, requestBody.newPasswordConfirm)
17:00:44.035 [XNIO-1 task-2]  jytv7LtTSbyZdKqy6ueEJQ DEBUG com.networknt.schema.FormatValidator debug - validate( "11bbc361-a824-4020-b400-7568d5645f84", {"password":"11bbc361-a824-4020-b400-7568d5645f84","newPassword":"ca95f17c-734e-4dad-948b-b07f04e3aa3d","newPasswordConfirm":"ca95f17c-734e-4dad-948b-b07f04e3aa3d"}, requestBody.password)
17:00:44.035 [XNIO-1 task-2]  jytv7LtTSbyZdKqy6ueEJQ DEBUG com.networknt.schema.FormatValidator debug - validate( "ca95f17c-734e-4dad-948b-b07f04e3aa3d", {"password":"11bbc361-a824-4020-b400-7568d5645f84","newPassword":"ca95f17c-734e-4dad-948b-b07f04e3aa3d","newPasswordConfirm":"ca95f17c-734e-4dad-948b-b07f04e3aa3d"}, requestBody.newPassword)
17:00:44.066 [XNIO-1 task-2]  wx0OMKg6RPS5xDYaoHFBKQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user/5312473d
17:00:44.066 [XNIO-1 task-2]  wx0OMKg6RPS5xDYaoHFBKQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
17:00:44.066 [XNIO-1 task-2]  wx0OMKg6RPS5xDYaoHFBKQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user/{userId}
17:00:44.066 [XNIO-1 task-2]  wx0OMKg6RPS5xDYaoHFBKQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user/5312473d
17:00:44.076 [XNIO-1 task-2]  mPkznb1wQ-qFL3nw_OY7FA DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user/c5e28be1, base path is set to: null
17:00:44.077 [XNIO-1 task-2]  mPkznb1wQ-qFL3nw_OY7FA DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/user
17:00:44.077 [XNIO-1 task-2]  mPkznb1wQ-qFL3nw_OY7FA DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/user/{userId}
17:00:44.077 [XNIO-1 task-2]  mPkznb1wQ-qFL3nw_OY7FA DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user/c5e28be1, base path is set to: null
17:00:44.081 [XNIO-1 task-2]  mPkznb1wQ-qFL3nw_OY7FA DEBUG com.networknt.schema.TypeValidator debug - validate( "c5e28be1", "c5e28be1", userId)
17:00:44.101 [XNIO-1 task-2]  RBPJCSPgRmenxsNnnBLW_w DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user/25a49246
17:00:44.101 [XNIO-1 task-2]  RBPJCSPgRmenxsNnnBLW_w DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
17:00:44.101 [XNIO-1 task-2]  RBPJCSPgRmenxsNnnBLW_w DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user/{userId}
17:00:44.102 [XNIO-1 task-2]  RBPJCSPgRmenxsNnnBLW_w DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user/25a49246
17:00:44.112 [XNIO-1 task-2]  6aoTYVHqR36ozCPgCmvLAA DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user, base path is set to: null
17:00:44.112 [XNIO-1 task-2]  6aoTYVHqR36ozCPgCmvLAA DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/user
17:00:44.112 [XNIO-1 task-2]  6aoTYVHqR36ozCPgCmvLAA DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user, base path is set to: null
17:00:44.113 [XNIO-1 task-2]  6aoTYVHqR36ozCPgCmvLAA DEBUG com.networknt.schema.TypeValidator debug - validate( "1", "1", page)
17:00:44.122 [XNIO-1 task-2]  SpDgddW8TkKZKJEb4RRNzQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user/b89fcc0b, base path is set to: null
17:00:44.122 [XNIO-1 task-2]  SpDgddW8TkKZKJEb4RRNzQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/user
17:00:44.122 [XNIO-1 task-2]  SpDgddW8TkKZKJEb4RRNzQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/user/{userId}
17:00:44.122 [XNIO-1 task-2]  SpDgddW8TkKZKJEb4RRNzQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user/b89fcc0b, base path is set to: null
17:00:44.122 [XNIO-1 task-2]  SpDgddW8TkKZKJEb4RRNzQ DEBUG com.networknt.schema.TypeValidator debug - validate( "b89fcc0b", "b89fcc0b", userId)
17:00:44.125 [XNIO-1 task-2]  9Qp7_dQhRIKMnqUrK0fllw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user/60fc213e
17:00:44.125 [XNIO-1 task-2]  9Qp7_dQhRIKMnqUrK0fllw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
17:00:44.125 [XNIO-1 task-2]  9Qp7_dQhRIKMnqUrK0fllw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user/{userId}
17:00:44.125 [XNIO-1 task-2]  9Qp7_dQhRIKMnqUrK0fllw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user/60fc213e
17:00:44.130 [XNIO-1 task-2]  D3DsI1zmTtS4TXXlpuDqlg DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user, base path is set to: null
17:00:44.130 [XNIO-1 task-2]  D3DsI1zmTtS4TXXlpuDqlg DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/user
17:00:44.131 [XNIO-1 task-2]  D3DsI1zmTtS4TXXlpuDqlg DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user, base path is set to: null
17:00:44.131 [XNIO-1 task-2]  D3DsI1zmTtS4TXXlpuDqlg DEBUG com.networknt.schema.TypeValidator debug - validate( "1", "1", page)
17:00:44.152 [XNIO-1 task-2]  aMAgzaxaTO2Hyc-j3vgP0g DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user, base path is set to: null
17:00:44.152 [XNIO-1 task-2]  aMAgzaxaTO2Hyc-j3vgP0g DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/user
17:00:44.153 [XNIO-1 task-2]  aMAgzaxaTO2Hyc-j3vgP0g DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user, base path is set to: null
17:00:44.155 [hz._hzInstance_1_dev.partition-operation.thread-12]   DEBUG c.networknt.oauth.cache.UserMapStore store - Store:b89fcc0b
17:00:44.165 [hz._hzInstance_1_dev.partition-operation.thread-12]   DEBUG c.n.oauth.cache.ServiceMapStore store - Store:15f0e259
17:00:44.167 [XNIO-1 task-2]  xmOScPgGSm6e8S7q0Mq6og DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user, base path is set to: null
17:00:44.172 [XNIO-1 task-2]  xmOScPgGSm6e8S7q0Mq6og DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/user
17:00:44.173 [XNIO-1 task-2]  xmOScPgGSm6e8S7q0Mq6og DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user, base path is set to: null
17:00:44.203 [hz._hzInstance_1_dev.partition-operation.thread-1]   DEBUG c.n.oauth.cache.ClientMapStore load - Load:6624d344-9a37-4e00-a256-59a261a54eca
17:00:44.221 [hz._hzInstance_1_dev.partition-operation.thread-1]   DEBUG c.n.oauth.cache.ClientMapStore load - Load:6624d344-9a37-4e00-a256-59a261a54eca
17:00:44.231 [XNIO-1 task-2]  zpPfN679QkiAyvg8HHTeaw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user/60fc213e
17:00:44.231 [XNIO-1 task-2]  zpPfN679QkiAyvg8HHTeaw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
17:00:44.231 [XNIO-1 task-2]  zpPfN679QkiAyvg8HHTeaw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user/{userId}
17:00:44.232 [XNIO-1 task-2]  zpPfN679QkiAyvg8HHTeaw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user/60fc213e
17:00:44.237 [XNIO-1 task-2]  CO7bUicGQFy-U0yfPIB_5A DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user, base path is set to: null
17:00:44.237 [XNIO-1 task-2]  CO7bUicGQFy-U0yfPIB_5A DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/user
17:00:44.237 [XNIO-1 task-2]  CO7bUicGQFy-U0yfPIB_5A DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user, base path is set to: null
17:00:44.238 [XNIO-1 task-2]  CO7bUicGQFy-U0yfPIB_5A DEBUG com.networknt.schema.TypeValidator debug - validate( "1", "1", page)
17:00:44.260 [XNIO-1 task-2]  S2nAhavMQQGmlGR6v49xVg DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user, base path is set to: null
17:00:44.260 [XNIO-1 task-2]  S2nAhavMQQGmlGR6v49xVg DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/user
