09:02:57.861 [XNIO-1 task-1]  mqU8l2_HRRyR5Jin7mg9uQ DEBUG com.networknt.schema.TypeValidator debug - validate( "920f67ac-061d-4f4f-91a4-e92bcfcb4ccc", {"password":"a54c83b5-79b9-4b55-8de6-bb90a71761ea","newPassword":"920f67ac-061d-4f4f-91a4-e92bcfcb4ccc","newPasswordConfirm":"920f67ac-061d-4f4f-91a4-e92bcfcb4ccc"}, requestBody.newPassword)
09:02:59.599 [XNIO-1 task-1]  74ULH96cRTOkmsyvarK_1w DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
09:02:59.599 [XNIO-1 task-1]  74ULH96cRTOkmsyvarK_1w DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
09:02:59.600 [XNIO-1 task-1]  74ULH96cRTOkmsyvarK_1w DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
09:02:59.600 [XNIO-1 task-1]  74ULH96cRTOkmsyvarK_1w DEBUG com.networknt.schema.FormatValidator debug - validate( "1", "1", page)
09:02:59.604 [XNIO-1 task-1]  54RgSDnIRq69R_tZTofzHA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
09:02:59.604 [XNIO-1 task-1]  54RgSDnIRq69R_tZTofzHA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
09:02:59.604 [XNIO-1 task-1]  54RgSDnIRq69R_tZTofzHA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
09:02:59.612 [XNIO-1 task-1]  h4oFBhlBSTmqWUiCtNmG8g DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/password/28b808a4
09:02:59.612 [XNIO-1 task-1]  h4oFBhlBSTmqWUiCtNmG8g DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
09:02:59.612 [XNIO-1 task-1]  h4oFBhlBSTmqWUiCtNmG8g DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user/{userId}
09:02:59.613 [XNIO-1 task-1]  h4oFBhlBSTmqWUiCtNmG8g DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/password/{userId}
09:02:59.613 [XNIO-1 task-1]  h4oFBhlBSTmqWUiCtNmG8g DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/password/28b808a4
09:02:59.613 [XNIO-1 task-1]  h4oFBhlBSTmqWUiCtNmG8g DEBUG com.networknt.schema.TypeValidator debug - validate( {"password":"90097df5-5414-4421-a6cd-2d04f2824d0d","newPassword":"dddd776f-d4b9-4765-aa2b-ad4486dca867","newPasswordConfirm":"dddd776f-d4b9-4765-aa2b-ad4486dca867"}, {"password":"90097df5-5414-4421-a6cd-2d04f2824d0d","newPassword":"dddd776f-d4b9-4765-aa2b-ad4486dca867","newPasswordConfirm":"dddd776f-d4b9-4765-aa2b-ad4486dca867"}, requestBody)
09:02:59.614 [XNIO-1 task-1]  h4oFBhlBSTmqWUiCtNmG8g DEBUG c.n.schema.PropertiesValidator debug - validate( {"password":"90097df5-5414-4421-a6cd-2d04f2824d0d","newPassword":"dddd776f-d4b9-4765-aa2b-ad4486dca867","newPasswordConfirm":"dddd776f-d4b9-4765-aa2b-ad4486dca867"}, {"password":"90097df5-5414-4421-a6cd-2d04f2824d0d","newPassword":"dddd776f-d4b9-4765-aa2b-ad4486dca867","newPasswordConfirm":"dddd776f-d4b9-4765-aa2b-ad4486dca867"}, requestBody)
09:02:59.614 [XNIO-1 task-1]  h4oFBhlBSTmqWUiCtNmG8g DEBUG com.networknt.schema.FormatValidator debug - validate( "dddd776f-d4b9-4765-aa2b-ad4486dca867", {"password":"90097df5-5414-4421-a6cd-2d04f2824d0d","newPassword":"dddd776f-d4b9-4765-aa2b-ad4486dca867","newPasswordConfirm":"dddd776f-d4b9-4765-aa2b-ad4486dca867"}, requestBody.newPasswordConfirm)
09:02:59.614 [XNIO-1 task-1]  h4oFBhlBSTmqWUiCtNmG8g DEBUG com.networknt.schema.FormatValidator debug - validate( "90097df5-5414-4421-a6cd-2d04f2824d0d", {"password":"90097df5-5414-4421-a6cd-2d04f2824d0d","newPassword":"dddd776f-d4b9-4765-aa2b-ad4486dca867","newPasswordConfirm":"dddd776f-d4b9-4765-aa2b-ad4486dca867"}, requestBody.password)
09:02:59.614 [XNIO-1 task-1]  h4oFBhlBSTmqWUiCtNmG8g DEBUG com.networknt.schema.FormatValidator debug - validate( "dddd776f-d4b9-4765-aa2b-ad4486dca867", {"password":"90097df5-5414-4421-a6cd-2d04f2824d0d","newPassword":"dddd776f-d4b9-4765-aa2b-ad4486dca867","newPasswordConfirm":"dddd776f-d4b9-4765-aa2b-ad4486dca867"}, requestBody.newPassword)
09:02:59.630 [XNIO-1 task-1]  isYQ3waKRHumjGGHHQ1QhQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
09:02:59.630 [XNIO-1 task-1]  isYQ3waKRHumjGGHHQ1QhQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
09:02:59.630 [XNIO-1 task-1]  isYQ3waKRHumjGGHHQ1QhQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
09:02:59.637 [XNIO-1 task-1]  Kx91iVxUT1mWDUElWz0qIQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user/08957d01
09:02:59.637 [XNIO-1 task-1]  Kx91iVxUT1mWDUElWz0qIQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
09:02:59.637 [XNIO-1 task-1]  Kx91iVxUT1mWDUElWz0qIQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user/{userId}
09:02:59.638 [XNIO-1 task-1]  Kx91iVxUT1mWDUElWz0qIQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user/08957d01
09:02:59.638 [hz._hzInstance_1_dev.partition-operation.thread-10]   DEBUG c.n.oauth.cache.ServiceMapStore store - Store:edca6084
09:02:59.640 [XNIO-1 task-1]  D0UUPJ7cT42YGi9_uzgJxg DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user/28b808a4, base path is set to: null
09:02:59.640 [XNIO-1 task-1]  D0UUPJ7cT42YGi9_uzgJxg DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/user
09:02:59.640 [XNIO-1 task-1]  D0UUPJ7cT42YGi9_uzgJxg DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/user/{userId}
09:02:59.640 [XNIO-1 task-1]  D0UUPJ7cT42YGi9_uzgJxg DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user/28b808a4, base path is set to: null
09:02:59.640 [XNIO-1 task-1]  D0UUPJ7cT42YGi9_uzgJxg DEBUG com.networknt.schema.TypeValidator debug - validate( "28b808a4", "28b808a4", userId)
09:02:59.643 [XNIO-1 task-1]  BBMwu8DtQ_Cl1AsTf-lEDA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/password/fe4cd13c
09:02:59.643 [XNIO-1 task-1]  BBMwu8DtQ_Cl1AsTf-lEDA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
09:02:59.643 [XNIO-1 task-1]  BBMwu8DtQ_Cl1AsTf-lEDA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user/{userId}
09:02:59.643 [XNIO-1 task-1]  BBMwu8DtQ_Cl1AsTf-lEDA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/password/{userId}
09:02:59.643 [XNIO-1 task-1]  BBMwu8DtQ_Cl1AsTf-lEDA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/password/fe4cd13c
09:02:59.644 [XNIO-1 task-1]  BBMwu8DtQ_Cl1AsTf-lEDA DEBUG com.networknt.schema.TypeValidator debug - validate( {"password":"7b75006e-827b-4291-9b70-3870e82230ff","newPassword":"80118a00-0056-46f4-8488-a48afbcdca7d","newPasswordConfirm":"80118a00-0056-46f4-8488-a48afbcdca7d"}, {"password":"7b75006e-827b-4291-9b70-3870e82230ff","newPassword":"80118a00-0056-46f4-8488-a48afbcdca7d","newPasswordConfirm":"80118a00-0056-46f4-8488-a48afbcdca7d"}, requestBody)
09:02:59.644 [XNIO-1 task-1]  BBMwu8DtQ_Cl1AsTf-lEDA DEBUG c.n.schema.PropertiesValidator debug - validate( {"password":"7b75006e-827b-4291-9b70-3870e82230ff","newPassword":"80118a00-0056-46f4-8488-a48afbcdca7d","newPasswordConfirm":"80118a00-0056-46f4-8488-a48afbcdca7d"}, {"password":"7b75006e-827b-4291-9b70-3870e82230ff","newPassword":"80118a00-0056-46f4-8488-a48afbcdca7d","newPasswordConfirm":"80118a00-0056-46f4-8488-a48afbcdca7d"}, requestBody)
09:02:59.644 [XNIO-1 task-1]  BBMwu8DtQ_Cl1AsTf-lEDA DEBUG com.networknt.schema.FormatValidator debug - validate( "80118a00-0056-46f4-8488-a48afbcdca7d", {"password":"7b75006e-827b-4291-9b70-3870e82230ff","newPassword":"80118a00-0056-46f4-8488-a48afbcdca7d","newPasswordConfirm":"80118a00-0056-46f4-8488-a48afbcdca7d"}, requestBody.newPasswordConfirm)
09:02:59.644 [XNIO-1 task-1]  BBMwu8DtQ_Cl1AsTf-lEDA DEBUG com.networknt.schema.FormatValidator debug - validate( "7b75006e-827b-4291-9b70-3870e82230ff", {"password":"7b75006e-827b-4291-9b70-3870e82230ff","newPassword":"80118a00-0056-46f4-8488-a48afbcdca7d","newPasswordConfirm":"80118a00-0056-46f4-8488-a48afbcdca7d"}, requestBody.password)
09:02:59.644 [XNIO-1 task-1]  BBMwu8DtQ_Cl1AsTf-lEDA DEBUG com.networknt.schema.FormatValidator debug - validate( "80118a00-0056-46f4-8488-a48afbcdca7d", {"password":"7b75006e-827b-4291-9b70-3870e82230ff","newPassword":"80118a00-0056-46f4-8488-a48afbcdca7d","newPasswordConfirm":"80118a00-0056-46f4-8488-a48afbcdca7d"}, requestBody.newPassword)
09:02:59.659 [hz._hzInstance_1_dev.partition-operation.thread-5]   DEBUG c.n.oauth.cache.ServiceMapStore store - Store:d69d6f21
09:02:59.659 [XNIO-1 task-1]  33u1_k5WQN-6V-9fMrvV_g DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user, base path is set to: null
09:02:59.659 [XNIO-1 task-1]  33u1_k5WQN-6V-9fMrvV_g DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/user
09:02:59.659 [XNIO-1 task-1]  33u1_k5WQN-6V-9fMrvV_g DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user, base path is set to: null
09:02:59.667 [XNIO-1 task-1]  HAT-uPxGRnm39mYpNTCXPA DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/password/fe4cd13c, base path is set to: null
09:02:59.667 [XNIO-1 task-1]  HAT-uPxGRnm39mYpNTCXPA DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/user
09:02:59.667 [XNIO-1 task-1]  HAT-uPxGRnm39mYpNTCXPA DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/user/{userId}
09:02:59.667 [XNIO-1 task-1]  HAT-uPxGRnm39mYpNTCXPA DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/password/{userId}
09:02:59.667 [XNIO-1 task-1]  HAT-uPxGRnm39mYpNTCXPA DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/password/fe4cd13c, base path is set to: null
09:02:59.667 [XNIO-1 task-1]  HAT-uPxGRnm39mYpNTCXPA DEBUG com.networknt.schema.TypeValidator debug - validate( "fe4cd13c", "fe4cd13c", userId)
09:02:59.668 [XNIO-1 task-1]  HAT-uPxGRnm39mYpNTCXPA DEBUG c.networknt.schema.RequiredValidator debug - validate( {"password":"80118a00-0056-46f4-8488-a48afbcdca7d","newPassword":"071a477e-f1f6-4246-9098-af74c81bd68b","newPasswordConfirm":"071a477e-f1f6-4246-9098-af74c81bd68b"}, {"password":"80118a00-0056-46f4-8488-a48afbcdca7d","newPassword":"071a477e-f1f6-4246-9098-af74c81bd68b","newPasswordConfirm":"071a477e-f1f6-4246-9098-af74c81bd68b"}, requestBody)
09:02:59.668 [XNIO-1 task-1]  HAT-uPxGRnm39mYpNTCXPA DEBUG com.networknt.schema.TypeValidator debug - validate( "071a477e-f1f6-4246-9098-af74c81bd68b", {"password":"80118a00-0056-46f4-8488-a48afbcdca7d","newPassword":"071a477e-f1f6-4246-9098-af74c81bd68b","newPasswordConfirm":"071a477e-f1f6-4246-9098-af74c81bd68b"}, requestBody.newPasswordConfirm)
09:02:59.668 [XNIO-1 task-1]  HAT-uPxGRnm39mYpNTCXPA DEBUG com.networknt.schema.TypeValidator debug - validate( "80118a00-0056-46f4-8488-a48afbcdca7d", {"password":"80118a00-0056-46f4-8488-a48afbcdca7d","newPassword":"071a477e-f1f6-4246-9098-af74c81bd68b","newPasswordConfirm":"071a477e-f1f6-4246-9098-af74c81bd68b"}, requestBody.password)
09:02:59.669 [XNIO-1 task-1]  HAT-uPxGRnm39mYpNTCXPA DEBUG com.networknt.schema.TypeValidator debug - validate( "071a477e-f1f6-4246-9098-af74c81bd68b", {"password":"80118a00-0056-46f4-8488-a48afbcdca7d","newPassword":"071a477e-f1f6-4246-9098-af74c81bd68b","newPasswordConfirm":"071a477e-f1f6-4246-9098-af74c81bd68b"}, requestBody.newPassword)
09:02:59.687 [XNIO-1 task-1]  angCikNeSqeZvLYX9Q8cbw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user, base path is set to: null
09:02:59.688 [XNIO-1 task-1]  angCikNeSqeZvLYX9Q8cbw DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/user
09:02:59.688 [XNIO-1 task-1]  angCikNeSqeZvLYX9Q8cbw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user, base path is set to: null
09:02:59.739 [XNIO-1 task-1]  cLXqpLTNQ-mAgzraxEbNFQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user/08957d01, base path is set to: null
09:02:59.740 [XNIO-1 task-1]  cLXqpLTNQ-mAgzraxEbNFQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/user
09:02:59.740 [XNIO-1 task-1]  cLXqpLTNQ-mAgzraxEbNFQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/user/{userId}
09:02:59.740 [XNIO-1 task-1]  cLXqpLTNQ-mAgzraxEbNFQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user/08957d01, base path is set to: null
09:02:59.740 [XNIO-1 task-1]  cLXqpLTNQ-mAgzraxEbNFQ DEBUG com.networknt.schema.TypeValidator debug - validate( "08957d01", "08957d01", userId)
09:02:59.740 [hz._hzInstance_1_dev.partition-operation.thread-10]   DEBUG c.n.oauth.cache.ServiceMapStore load - Load:edca6084
09:02:59.743 [XNIO-1 task-1]  XH4KQGbHTu6JNIxSUhVeEQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
09:02:59.743 [XNIO-1 task-1]  XH4KQGbHTu6JNIxSUhVeEQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
09:02:59.743 [XNIO-1 task-1]  XH4KQGbHTu6JNIxSUhVeEQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
09:03:01.408 [XNIO-1 task-1]  bkvCTTCLTvWQLJm85tAm5g DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user/d2708282
09:03:01.408 [XNIO-1 task-1]  bkvCTTCLTvWQLJm85tAm5g DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
09:03:01.408 [XNIO-1 task-1]  bkvCTTCLTvWQLJm85tAm5g DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user/{userId}
09:03:01.408 [XNIO-1 task-1]  bkvCTTCLTvWQLJm85tAm5g DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user/d2708282
09:03:01.418 [XNIO-1 task-1]  1WwQwLDORhGc_99htBFx4A DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user, base path is set to: null
09:03:01.418 [XNIO-1 task-1]  1WwQwLDORhGc_99htBFx4A DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/user
09:03:01.418 [XNIO-1 task-1]  1WwQwLDORhGc_99htBFx4A DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user, base path is set to: null
09:03:01.430 [hz._hzInstance_1_dev.partition-operation.thread-6]   DEBUG c.n.o.cache.ServiceEndpointMapStore delete - Delete:8abf3953
09:03:01.451 [XNIO-1 task-1]  46x5E0lhToiB_QPhPpBjBw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user, base path is set to: null
09:03:01.451 [XNIO-1 task-1]  46x5E0lhToiB_QPhPpBjBw DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/user
09:03:01.451 [XNIO-1 task-1]  46x5E0lhToiB_QPhPpBjBw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user, base path is set to: null
09:03:01.463 [XNIO-1 task-1]  HHMDmES8Sc6kaBOJsBwdXQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user/629f5ec2, base path is set to: null
09:03:01.463 [XNIO-1 task-1]  HHMDmES8Sc6kaBOJsBwdXQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/user
09:03:01.463 [XNIO-1 task-1]  HHMDmES8Sc6kaBOJsBwdXQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/user/{userId}
09:03:01.463 [XNIO-1 task-1]  HHMDmES8Sc6kaBOJsBwdXQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user/629f5ec2, base path is set to: null
09:03:01.463 [XNIO-1 task-1]  HHMDmES8Sc6kaBOJsBwdXQ DEBUG com.networknt.schema.TypeValidator debug - validate( "629f5ec2", "629f5ec2", userId)
09:03:01.468 [XNIO-1 task-1]  sU1reX15Se6Y27xXDL43gg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/password/fe4cd13c
09:03:01.468 [XNIO-1 task-1]  sU1reX15Se6Y27xXDL43gg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
09:03:01.468 [XNIO-1 task-1]  sU1reX15Se6Y27xXDL43gg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user/{userId}
09:03:01.468 [XNIO-1 task-1]  sU1reX15Se6Y27xXDL43gg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/password/{userId}
09:03:01.468 [XNIO-1 task-1]  sU1reX15Se6Y27xXDL43gg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/password/fe4cd13c
09:03:01.469 [XNIO-1 task-1]  sU1reX15Se6Y27xXDL43gg DEBUG com.networknt.schema.TypeValidator debug - validate( {"password":"071a477e-f1f6-4246-9098-af74c81bd68b","newPassword":"bfdf33d4-e227-405d-968e-6b76782489f6","newPasswordConfirm":"bfdf33d4-e227-405d-968e-6b76782489f6"}, {"password":"071a477e-f1f6-4246-9098-af74c81bd68b","newPassword":"bfdf33d4-e227-405d-968e-6b76782489f6","newPasswordConfirm":"bfdf33d4-e227-405d-968e-6b76782489f6"}, requestBody)
09:03:01.469 [XNIO-1 task-1]  sU1reX15Se6Y27xXDL43gg DEBUG c.n.schema.PropertiesValidator debug - validate( {"password":"071a477e-f1f6-4246-9098-af74c81bd68b","newPassword":"bfdf33d4-e227-405d-968e-6b76782489f6","newPasswordConfirm":"bfdf33d4-e227-405d-968e-6b76782489f6"}, {"password":"071a477e-f1f6-4246-9098-af74c81bd68b","newPassword":"bfdf33d4-e227-405d-968e-6b76782489f6","newPasswordConfirm":"bfdf33d4-e227-405d-968e-6b76782489f6"}, requestBody)
09:03:01.469 [XNIO-1 task-1]  sU1reX15Se6Y27xXDL43gg DEBUG com.networknt.schema.FormatValidator debug - validate( "bfdf33d4-e227-405d-968e-6b76782489f6", {"password":"071a477e-f1f6-4246-9098-af74c81bd68b","newPassword":"bfdf33d4-e227-405d-968e-6b76782489f6","newPasswordConfirm":"bfdf33d4-e227-405d-968e-6b76782489f6"}, requestBody.newPasswordConfirm)
09:03:01.469 [XNIO-1 task-1]  sU1reX15Se6Y27xXDL43gg DEBUG com.networknt.schema.FormatValidator debug - validate( "071a477e-f1f6-4246-9098-af74c81bd68b", {"password":"071a477e-f1f6-4246-9098-af74c81bd68b","newPassword":"bfdf33d4-e227-405d-968e-6b76782489f6","newPasswordConfirm":"bfdf33d4-e227-405d-968e-6b76782489f6"}, requestBody.password)
09:03:01.469 [XNIO-1 task-1]  sU1reX15Se6Y27xXDL43gg DEBUG com.networknt.schema.FormatValidator debug - validate( "bfdf33d4-e227-405d-968e-6b76782489f6", {"password":"071a477e-f1f6-4246-9098-af74c81bd68b","newPassword":"bfdf33d4-e227-405d-968e-6b76782489f6","newPasswordConfirm":"bfdf33d4-e227-405d-968e-6b76782489f6"}, requestBody.newPassword)
09:03:01.491 [XNIO-1 task-1]  hvx4-Pk7Tw6e9btz2kPtig DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
09:03:01.491 [XNIO-1 task-1]  hvx4-Pk7Tw6e9btz2kPtig DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
09:03:01.492 [XNIO-1 task-1]  hvx4-Pk7Tw6e9btz2kPtig DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
09:03:01.492 [XNIO-1 task-1]  hvx4-Pk7Tw6e9btz2kPtig DEBUG com.networknt.schema.FormatValidator debug - validate( "1", "1", page)
09:03:01.497 [hz._hzInstance_1_dev.partition-operation.thread-5]   DEBUG c.n.oauth.cache.ServiceMapStore delete - Delete:d69d6f21
09:03:01.498 [XNIO-1 task-1]  67ro0qJcRiiWGmdJKxJ6Rw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user/28b808a4
09:03:01.498 [XNIO-1 task-1]  67ro0qJcRiiWGmdJKxJ6Rw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
09:03:01.498 [XNIO-1 task-1]  67ro0qJcRiiWGmdJKxJ6Rw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user/{userId}
09:03:01.499 [XNIO-1 task-1]  67ro0qJcRiiWGmdJKxJ6Rw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user/28b808a4
09:03:01.504 [hz._hzInstance_1_dev.partition-operation.thread-10]   DEBUG c.n.o.cache.ServiceEndpointMapStore delete - Delete:edca6084
09:03:01.507 [XNIO-1 task-1]  hBFaGpLOQu2WunOafAvc_g DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/password/fe4cd13c, base path is set to: null
09:03:01.507 [XNIO-1 task-1]  hBFaGpLOQu2WunOafAvc_g DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/user
09:03:01.507 [XNIO-1 task-1]  hBFaGpLOQu2WunOafAvc_g DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/user/{userId}
09:03:01.507 [XNIO-1 task-1]  hBFaGpLOQu2WunOafAvc_g DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/password/{userId}
09:03:01.507 [XNIO-1 task-1]  hBFaGpLOQu2WunOafAvc_g DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/password/fe4cd13c, base path is set to: null
09:03:01.508 [XNIO-1 task-1]  hBFaGpLOQu2WunOafAvc_g DEBUG com.networknt.schema.TypeValidator debug - validate( "fe4cd13c", "fe4cd13c", userId)
09:03:01.508 [XNIO-1 task-1]  hBFaGpLOQu2WunOafAvc_g DEBUG c.networknt.schema.RequiredValidator debug - validate( {"password":"bfdf33d4-e227-405d-968e-6b76782489f6","newPassword":"1ce1c895-91d6-4316-81b9-4289f78aa074","newPasswordConfirm":"1ce1c895-91d6-4316-81b9-4289f78aa074"}, {"password":"bfdf33d4-e227-405d-968e-6b76782489f6","newPassword":"1ce1c895-91d6-4316-81b9-4289f78aa074","newPasswordConfirm":"1ce1c895-91d6-4316-81b9-4289f78aa074"}, requestBody)
09:03:01.508 [XNIO-1 task-1]  hBFaGpLOQu2WunOafAvc_g DEBUG com.networknt.schema.TypeValidator debug - validate( "1ce1c895-91d6-4316-81b9-4289f78aa074", {"password":"bfdf33d4-e227-405d-968e-6b76782489f6","newPassword":"1ce1c895-91d6-4316-81b9-4289f78aa074","newPasswordConfirm":"1ce1c895-91d6-4316-81b9-4289f78aa074"}, requestBody.newPasswordConfirm)
09:03:01.508 [XNIO-1 task-1]  hBFaGpLOQu2WunOafAvc_g DEBUG com.networknt.schema.TypeValidator debug - validate( "bfdf33d4-e227-405d-968e-6b76782489f6", {"password":"bfdf33d4-e227-405d-968e-6b76782489f6","newPassword":"1ce1c895-91d6-4316-81b9-4289f78aa074","newPasswordConfirm":"1ce1c895-91d6-4316-81b9-4289f78aa074"}, requestBody.password)
09:03:01.508 [hz._hzInstance_1_dev.partition-operation.thread-7]   DEBUG c.n.oauth.cache.ClientMapStore load - Load:9e38cc06-8e3c-4d44-9813-610466eb25e2
09:03:01.508 [XNIO-1 task-1]  hBFaGpLOQu2WunOafAvc_g DEBUG com.networknt.schema.FormatValidator debug - validate( "1ce1c895-91d6-4316-81b9-4289f78aa074", {"password":"bfdf33d4-e227-405d-968e-6b76782489f6","newPassword":"1ce1c895-91d6-4316-81b9-4289f78aa074","newPasswordConfirm":"1ce1c895-91d6-4316-81b9-4289f78aa074"}, requestBody.newPassword)
09:03:01.517 [hz._hzInstance_1_dev.partition-operation.thread-7]   DEBUG c.n.oauth.cache.ClientMapStore load - Load:9e38cc06-8e3c-4d44-9813-610466eb25e2
09:03:01.532 [XNIO-1 task-1]  s13W2jEUTc-sF4jkUMFGGw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/password/fe4cd13c
09:03:01.532 [XNIO-1 task-1]  s13W2jEUTc-sF4jkUMFGGw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
09:03:01.532 [XNIO-1 task-1]  s13W2jEUTc-sF4jkUMFGGw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user/{userId}
09:03:01.532 [XNIO-1 task-1]  s13W2jEUTc-sF4jkUMFGGw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/password/{userId}
09:03:01.533 [XNIO-1 task-1]  s13W2jEUTc-sF4jkUMFGGw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/password/fe4cd13c
09:03:01.533 [XNIO-1 task-1]  s13W2jEUTc-sF4jkUMFGGw DEBUG com.networknt.schema.TypeValidator debug - validate( {"password":"1ce1c895-91d6-4316-81b9-4289f78aa074","newPassword":"37b032b5-c898-4276-a37f-87f705706d67","newPasswordConfirm":"37b032b5-c898-4276-a37f-87f705706d67"}, {"password":"1ce1c895-91d6-4316-81b9-4289f78aa074","newPassword":"37b032b5-c898-4276-a37f-87f705706d67","newPasswordConfirm":"37b032b5-c898-4276-a37f-87f705706d67"}, requestBody)
